,areasymbol,lkey,areaname,mlraoffice,longitude,latitude,mbrminx,mbrminy,mbrmaxx,mbrmaxy,lat-rounded,lon-rounded,SoilLat,SoilLon,SolarLat,SolarLon,Year,SoilRegionKey,SolarRegionKey
0,AK600,10192,"Matanuska-Susitna Valley Area, Alaska","Portland, OR",-149.51259774677098,61.94879368619669,-150.572839723481,61.237672265610286,-148.452355770061,62.6599151067831,61.949,-149.513,,,,,,,
1,AK605,10194,"Anchorage Area, Alaska","Portland, OR",-149.601949191826,61.28404480983354,-150.292640631315,61.04120182965139,-148.911257752337,61.52688779001571,61.284,-149.602,,,,,,,
2,AK610,10193,"Greater Fairbanks Area, Alaska","Portland, OR",-147.54671367373155,64.77685001958649,-148.050570470068,64.6036282897022,-147.042856877395,64.9500717494708,64.777,-147.547,,,,,,,
3,AK612,10198,"Copper River Area, Alaska","Portland, OR",-144.949023359948,61.8851594034733,-145.86209917508302,61.4610683915897,-144.035947544813,62.3092504153569,61.885,-144.949,,,,,,,
4,AK615,10200,"Gerstle River Area, Alaska","Portland, OR",-145.051763276205,63.88566876995545,-145.560425161367,63.6684296156743,-144.543101391043,64.1029079242366,63.886,-145.052,,,,,,,
5,AK622,28768,"Skagway-Klondike Gold Rush National Historical Park, Alaska","Portland, OR",-135.408486285024,59.56915577515,-135.722117524853,59.340761383581714,-135.094855045195,59.797550166718295,59.569,-135.408,,,,,,,
6,AK625,10203,"Totchaket Area, Alaska","Portland, OR",-149.71556840200898,64.62888900740344,-150.326967717315,64.3431020235164,-149.104169086703,64.91467599129051,64.629,-149.716,,,,,,,
7,AK631,10207,"Yentna Area, Alaska","Portland, OR",-151.09971087485252,61.675046231051205,-152.11244917540702,60.7106747445512,-150.086972574298,62.639417717551204,61.675,-151.1,,,,,,,
8,AK636,49776,"Bristol Bay-Northern Alaska Peninsula, North and Bordering Areas, Alaska","Portland, OR",-156.920641370131,59.77008824294259,-159.732391719123,58.61289670706329,-154.108891021139,60.9272797788219,59.77,-156.921,59.77,-156.921,59.77,-156.94,2017.0,59.770:-156.921,-156.921:59.770
9,AK639,10208,"Lower Kenai Peninsula Area, Alaska","Portland, OR",-151.685619701103,59.2949107400561,-151.98945104983,59.1033984270312,-151.381788352376,59.486423053081,59.295,-151.686,59.295,-151.686,59.29,-151.7,2017.0,59.295:-151.686,-151.686:59.290
10,AK640,10209,"Upper Tanana Area, Alaska","Portland, OR",-146.253927751026,64.1331474351727,-146.742192268469,63.982307693816786,-145.76566323358298,64.2839871765286,64.133,-146.254,,,,,,,
11,AK641,10210,"Haines Area, Alaska","Portland, OR",-135.83407840556248,59.345339007871644,-136.438301681041,59.042522154789886,-135.229855130084,59.648155860953395,59.345,-135.834,59.345,-135.834,59.33,-135.82,2017.0,59.345:-135.834,-135.834:59.330
12,AK642,10211,"North Star Area, Alaska","Portland, OR",-147.30931898238995,64.88914801431086,-148.662512806614,64.3248098081046,-145.956125158166,65.4534862205171,64.889,-147.309,,,,,,,
13,AK643,10212,"Kantishna Area, Alaska","Portland, OR",-150.82688372421,64.65061971363568,-151.698150153265,64.4374413804395,-149.95561729515498,64.86379804683189,64.651,-150.827,,,,,,,
