SoilRegionKey,areasymbol,lkey,areaname,mlraoffice,longitude,latitude,mbrminx,mbrminy,mbrmaxx,mbrmaxy,SoilLat,SoilLon,SolarLat,SolarLon,Year,solarKey
59.569:-135.408,AK622,28768,"Skagway-Klondike Gold Rush National Historical Park, Alaska","Portland, OR",-135.4084863,59.56915578,-135.7221175,59.34076138,-135.094855,59.79755017,59.569,-135.408,59.57,-135.42,2017,59.570:-135.420
59.770:-156.921,AK636,49776,"Bristol Bay-Northern Alaska Peninsula, North and Bordering Areas, Alaska","Portland, OR",-156.9206414,59.77008824,-159.7323917,58.61289671,-154.108891,60.92727978,59.77,-156.921,59.77,-156.94,2017,59.770:-156.940
59.295:-151.686,AK639,10208,"Lower Kenai Peninsula Area, Alaska","Portland, OR",-151.6856197,59.29491074,-151.989451,59.10339843,-151.3817884,59.48642305,59.295,-151.686,59.29,-151.7,2017,59.290:-151.700
59.345:-135.834,AK641,10210,"Haines Area, Alaska","Portland, OR",-135.8340784,59.34533901,-136.4383017,59.04252215,-135.2298551,59.64815586,59.345,-135.834,59.33,-135.82,2017,59.330:-135.820
55.512:-132.196,AK644,10213,"Ketchikan Area, Alaska","Portland, OR",-132.196049,55.5123527,-134.4184369,54.61863498,-129.9736612,56.40607043,55.512,-132.196,55.53,-132.18,2017,55.530:-132.180
56.614:-132.829,AK645,10214,"Stikine Area, Alaska","Portland, OR",-132.8286312,56.61415461,-134.6593276,55.79340218,-130.9979349,57.43490703,56.614,-132.829,56.61,-132.82,2017,56.610:-132.820
57.868:-134.519,AK646,10215,"Chatham Area, Alaska","Portland, OR",-134.5187199,57.86795327,-136.6685553,56.12804284,-132.3688845,59.6078637,57.868,-134.519,57.85,-134.5,2017,57.850:-134.500
57.178:-170.259,AK653,10223,"Saint Paul Island Area, Alaska","Portland, OR",-170.2593894,57.17821059,-170.4216541,57.106765,-170.0971246,57.24965618,57.178,-170.259,57.17,-170.26,2017,57.170:-170.260
32.508:-86.666,AL001,12755,"Autauga County, Alabama","Auburn, AL",-86.66619151,32.50783335,-86.92126381,32.30756439,-86.41111921,32.70810231,32.508,-86.666,32.49,-86.66,2017,32.490:-86.660
30.732:-87.722,AL003,12756,"Baldwin County, Alabama","Auburn, AL",-87.72207663,30.73161885,-88.06069481,30.14443158,-87.38345844,31.31880612,30.732,-87.722,30.73,-87.74,2017,30.730:-87.740
31.883:-85.398,AL005,12757,"Barbour County, Alabama","Auburn, AL",-85.39849977,31.88289201,-85.74826999,31.61761828,-85.04872954,32.14816575,31.883,-85.398,31.89,-85.38,2017,31.890:-85.380
33.039:-87.149,AL007,12758,"Bibb County, Alabama","Auburn, AL",-87.14906023,33.03922686,-87.42264413,32.83161988,-86.87547633,33.24683384,33.039,-87.149,33.05,-87.14,2017,33.050:-87.140
34.013:-86.633,AL009,12759,"Blount County, Alabama","Morgantown, WV",-86.63341305,34.01274036,-86.96342553,33.76515396,-86.30340057,34.26032676,34.013,-86.633,34.01,-86.62,2017,34.010:-86.620
32.093:-85.705,AL011,12760,"Bullock County, Alabama","Auburn, AL",-85.70469689,32.09283409,-85.99924189,31.88031977,-85.4101519,32.30534842,32.093,-85.705,32.09,-85.7,2017,32.090:-85.700
31.744:-86.674,AL013,12761,"Butler County, Alabama","Auburn, AL",-86.67351048,31.74423913,-86.90895629,31.52379957,-86.43806466,31.96467868,31.744,-86.674,31.73,-86.66,2017,31.730:-86.660
33.762:-85.838,AL015,14893,"Calhoun County, Alabama","Morgantown, WV",-85.8378793,33.76228696,-86.14633084,33.55613491,-85.52942776,33.968439,33.762,-85.838,33.77,-85.82,2017,33.770:-85.820
32.919:-85.358,AL017,11122,"Chambers County, Alabama","Raleigh, NC",-85.35811587,32.91899694,-85.59372748,32.72865776,-85.12250426,33.10933611,32.919,-85.358,32.93,-85.34,2017,32.930:-85.340
34.234:-85.621,AL019,14894,"Cherokee County, Alabama","Morgantown, WV",-85.62138717,34.23395967,-85.84390683,33.94136478,-85.3988675,34.52655455,34.234,-85.621,34.25,-85.62,2017,34.250:-85.620
32.866:-86.695,AL021,12762,"Chilton County, Alabama","Auburn, AL",-86.69516543,32.86619266,-87.01910665,32.66048771,-86.3712242,33.07189761,32.866,-86.695,32.85,-86.7,2017,32.850:-86.700
32.004:-88.201,AL023,12763,"Choctaw County, Alabama","Auburn, AL",-88.20069175,32.00408665,-88.47310377,31.69775641,-87.92827973,32.31041689,32.004,-88.201,32.01,-88.22,2017,32.010:-88.220
31.588:-87.841,AL025,12764,"Clarke County, Alabama","Auburn, AL",-87.84079315,31.58837332,-88.18084733,31.18546576,-87.50073897,31.99128087,31.588,-87.841,31.57,-87.86,2017,31.570:-87.860
33.295:-85.908,AL027,11123,"Clay County, Alabama","Raleigh, NC",-85.90770926,33.29459305,-86.1742573,33.09023876,-85.64116122,33.49894735,33.295,-85.908,33.29,-85.9,2017,33.290:-85.900
33.717:-85.596,AL029,11124,"Cleburne County, Alabama","Raleigh, NC",-85.59620671,33.71669652,-85.88784173,33.46926049,-85.3045717,33.96413256,33.717,-85.596,33.73,-85.58,2017,33.730:-85.580
31.401:-85.993,AL031,12765,"Coffee County, Alabama","Auburn, AL",-85.99267488,31.40061006,-86.19641211,31.18206142,-85.78893765,31.61915869,31.401,-85.993,31.41,-85.98,2017,31.410:-85.980
34.736:-87.778,AL033,12766,"Colbert County, Alabama","Morgantown, WV",-87.77786295,34.73641198,-88.13995115,34.56617507,-87.41577476,34.90664889,34.736,-87.778,34.73,-87.78,2017,34.730:-87.780
31.467:-87.045,AL035,12767,"Conecuh County, Alabama","Auburn, AL",-87.04463661,31.46728189,-87.42741571,31.18132497,-86.66185751,31.75323881,31.467,-87.045,31.45,-87.06,2017,31.450:-87.060
32.929:-86.261,AL037,11125,"Coosa County, Alabama","Raleigh, NC",-86.26056788,32.92920014,-86.52142797,32.75348983,-85.99970778,33.10491044,32.929,-86.261,32.93,-86.26,2017,32.930:-86.260
31.261:-86.445,AL039,12768,"Covington County, Alabama","Auburn, AL",-86.44470997,31.26110077,-86.70260732,30.99355537,-86.18681263,31.52864617,31.261,-86.445,31.25,-86.46,2017,31.250:-86.460
31.746:-86.324,AL041,12769,"Crenshaw County, Alabama","Auburn, AL",-86.32371525,31.745791,-86.50342038,31.43993711,-86.14401012,32.05164489,31.746,-86.324,31.73,-86.34,2017,31.730:-86.340
34.086:-86.801,AL043,12770,"Cullman County, Alabama","Morgantown, WV",-86.80094163,34.08595444,-87.15085837,33.8579864,-86.45102489,34.31392248,34.086,-86.801,34.09,-86.82,2017,34.090:-86.820
31.408:-85.603,AL045,12771,"Dale County, Alabama","Auburn, AL",-85.60332143,31.4079978,-85.79166227,31.19514542,-85.41498059,31.62085017,31.408,-85.603,31.41,-85.62,2017,31.410:-85.620
32.388:-87.140,AL047,12772,"Dallas County, Alabama","Auburn, AL",-87.14003842,32.38798443,-87.47308625,32.04689651,-86.80699059,32.72907235,32.388,-87.14,32.37,-87.14,2017,32.370:-87.140
34.530:-85.816,AL049,12773,"DeKalb County, Alabama","Morgantown, WV",-85.81588222,34.52996858,-86.11894154,34.19943089,-85.5128229,34.86050626,34.53,-85.816,34.53,-85.82,2017,34.530:-85.820
32.588:-86.133,AL051,12774,"Elmore County, Alabama","Auburn, AL",-86.13318695,32.58754781,-86.4133359,32.40592357,-85.85303799,32.76917205,32.588,-86.133,32.57,-86.14,2017,32.570:-86.140
31.128:-87.152,AL053,12775,"Escambia County, Alabama","Auburn, AL",-87.15218559,31.12829667,-87.61587347,30.99476035,-86.6884977,31.261833,31.128,-87.152,31.13,-87.14,2017,31.130:-87.140
34.021:-86.055,AL055,12776,"Etowah County, Alabama","Morgantown, WV",-86.05521542,34.02114759,-86.37351135,33.84148682,-85.7369195,34.20080837,34.021,-86.055,34.01,-86.06,2017,34.010:-86.060
33.720:-87.688,AL057,12777,"Fayette County, Alabama","Auburn, AL",-87.6879232,33.7198218,-87.95214847,33.5196645,-87.42369794,33.9199791,33.72,-87.688,33.73,-87.7,2017,33.730:-87.700
34.443:-87.852,AL059,12778,"Franklin County, Alabama","Auburn, AL",-87.85160267,34.44332147,-88.17353642,34.30458922,-87.52966893,34.58205373,34.443,-87.852,34.45,-87.86,2017,34.450:-87.860
31.096:-85.839,AL061,12779,"Geneva County, Alabama","Auburn, AL",-85.83939546,31.09640993,-86.19341205,30.99297821,-85.48537886,31.19984164,31.096,-85.839,31.09,-85.82,2017,31.090:-85.820
32.836:-87.957,AL063,12780,"Greene County, Alabama","Auburn, AL",-87.95677548,32.83570965,-88.20776386,32.5175725,-87.7057871,33.1538468,32.836,-87.957,32.85,-87.94,2017,32.850:-87.940
32.744:-87.646,AL065,12781,"Hale County, Alabama","Auburn, AL",-87.6456548,32.74386559,-87.8704617,32.48078231,-87.42084789,33.00694888,32.744,-87.646,32.73,-87.66,2017,32.730:-87.660
31.541:-85.230,AL067,12782,"Henry County, Alabama","Auburn, AL",-85.22970568,31.54120586,-85.41801684,31.30764,-85.04139451,31.77477173,31.541,-85.23,31.53,-85.22,2017,31.530:-85.220
31.156:-85.356,AL069,12886,"Houston County, Alabama","Auburn, AL",-85.35598386,31.15606932,-85.71259038,30.99713733,-84.99937734,31.31500132,31.156,-85.356,31.17,-85.34,2017,31.170:-85.340
