SoilLat,SoilLon,SolarLat,SolarLon,Year,SoilRegionKey,SolarRegionKey
59.569,-135.408,59.57,-135.42,2017,59.569:-135.408,59.570:-135.420
59.77,-156.921,59.77,-156.94,2017,59.770:-156.921,59.770:-156.940
59.295,-151.686,59.29,-151.7,2017,59.295:-151.686,59.290:-151.700
59.345,-135.834,59.33,-135.82,2017,59.345:-135.834,59.330:-135.820
55.512,-132.196,55.53,-132.18,2017,55.512:-132.196,55.530:-132.180
56.614,-132.829,56.61,-132.82,2017,56.614:-132.829,56.610:-132.820
57.868,-134.519,57.85,-134.5,2017,57.868:-134.519,57.850:-134.500
57.178,-170.259,57.17,-170.26,2017,57.178:-170.259,57.170:-170.260
32.508,-86.666,32.49,-86.66,2017,32.508:-86.666,32.490:-86.660
30.732,-87.722,30.73,-87.74,2017,30.732:-87.722,30.730:-87.740
31.883,-85.398,31.89,-85.38,2017,31.883:-85.398,31.890:-85.380
33.039,-87.149,33.05,-87.14,2017,33.039:-87.149,33.050:-87.140
34.013,-86.633,34.01,-86.62,2017,34.013:-86.633,34.010:-86.620
32.093,-85.705,32.09,-85.7,2017,32.093:-85.705,32.090:-85.700
31.744,-86.674,31.73,-86.66,2017,31.744:-86.674,31.730:-86.660
33.762,-85.838,33.77,-85.82,2017,33.762:-85.838,33.770:-85.820
32.919,-85.358,32.93,-85.34,2017,32.919:-85.358,32.930:-85.340
34.234,-85.621,34.25,-85.62,2017,34.234:-85.621,34.250:-85.620
32.866,-86.695,32.85,-86.7,2017,32.866:-86.695,32.850:-86.700
32.004,-88.201,32.01,-88.22,2017,32.004:-88.201,32.010:-88.220
31.588,-87.841,31.57,-87.86,2017,31.588:-87.841,31.570:-87.860
33.295,-85.908,33.29,-85.9,2017,33.295:-85.908,33.290:-85.900
33.717,-85.596,33.73,-85.58,2017,33.717:-85.596,33.730:-85.580
31.401,-85.993,31.41,-85.98,2017,31.401:-85.993,31.410:-85.980
34.736,-87.778,34.73,-87.78,2017,34.736:-87.778,34.730:-87.780
31.467,-87.045,31.45,-87.06,2017,31.467:-87.045,31.450:-87.060
32.929,-86.261,32.93,-86.26,2017,32.929:-86.261,32.930:-86.260
31.261,-86.445,31.25,-86.46,2017,31.261:-86.445,31.250:-86.460
31.746,-86.324,31.73,-86.34,2017,31.746:-86.324,31.730:-86.340
34.086,-86.801,34.09,-86.82,2017,34.086:-86.801,34.090:-86.820
31.408,-85.603,31.41,-85.62,2017,31.408:-85.603,31.410:-85.620
32.388,-87.14,32.37,-87.14,2017,32.388:-87.140,32.370:-87.140
34.53,-85.816,34.53,-85.82,2017,34.530:-85.816,34.530:-85.820
32.588,-86.133,32.57,-86.14,2017,32.588:-86.133,32.570:-86.140
31.128,-87.152,31.13,-87.14,2017,31.128:-87.152,31.130:-87.140
34.021,-86.055,34.01,-86.06,2017,34.021:-86.055,34.010:-86.060
33.72,-87.688,33.73,-87.7,2017,33.720:-87.688,33.730:-87.700
34.443,-87.852,34.45,-87.86,2017,34.443:-87.852,34.450:-87.860
31.096,-85.839,31.09,-85.82,2017,31.096:-85.839,31.090:-85.820
32.836,-87.957,32.85,-87.94,2017,32.836:-87.957,32.850:-87.940
32.744,-87.646,32.73,-87.66,2017,32.744:-87.646,32.730:-87.660
31.541,-85.23,31.53,-85.22,2017,31.541:-85.230,31.530:-85.220
31.156,-85.356,31.17,-85.34,2017,31.156:-85.356,31.170:-85.340
34.728,-85.971,34.73,-85.98,2017,34.728:-85.971,34.730:-85.980
33.545,-86.929,33.53,-86.94,2017,33.545:-86.929,33.530:-86.940
33.792,-88.11,33.81,-88.1,2017,33.792:-88.110,33.810:-88.100
34.87,-87.707,34.85,-87.7,2017,34.870:-87.707,34.850:-87.700
34.552,-87.318,34.57,-87.3,2017,34.552:-87.318,34.570:-87.300
32.578,-85.349,32.57,-85.34,2017,32.578:-85.349,32.570:-85.340
34.775,-87.032,34.77,-87.02,2017,34.775:-87.032,34.770:-87.020
32.184,-86.652,32.17,-86.66,2017,32.184:-86.652,32.170:-86.660
32.414,-85.729,32.41,-85.74,2017,32.414:-85.729,32.410:-85.740
34.734,-86.523,34.73,-86.54,2017,34.734:-86.523,34.730:-86.540
32.269,-87.795,32.25,-87.78,2017,32.269:-87.795,32.250:-87.780
34.118,-87.921,34.13,-87.94,2017,34.118:-87.921,34.130:-87.940
34.35,-86.32,34.37,-86.3,2017,34.350:-86.320,34.370:-86.300
30.658,-88.178,30.65,-88.18,2017,30.658:-88.178,30.650:-88.180
31.529,-87.346,31.53,-87.34,2017,31.529:-87.346,31.530:-87.340
32.233,-86.215,32.25,-86.22,2017,32.233:-86.215,32.250:-86.220
34.496,-86.83,34.49,-86.82,2017,34.496:-86.830,34.490:-86.820
32.591,-87.272,32.61,-87.26,2017,32.591:-87.272,32.610:-87.260
33.263,-88.089,33.25,-88.1,2017,33.263:-88.089,33.250:-88.100
31.839,-85.929,31.85,-85.94,2017,31.839:-85.929,31.850:-85.940
33.304,-85.443,33.29,-85.46,2017,33.304:-85.443,33.290:-85.460
32.286,-85.162,32.29,-85.18,2017,32.286:-85.162,32.290:-85.180
33.69,-86.311,33.69,-86.3,2017,33.690:-86.311,33.690:-86.300
33.282,-86.684,33.29,-86.7,2017,33.282:-86.684,33.290:-86.700
32.652,-88.131,32.65,-88.14,2017,32.652:-88.131,32.650:-88.140
33.401,-86.149,33.41,-86.14,2017,33.401:-86.149,33.410:-86.140
32.8,-85.804,32.81,-85.82,2017,32.800:-85.804,32.810:-85.820
33.307,-87.453,33.29,-87.46,2017,33.307:-87.453,33.290:-87.460
33.759,-87.295,33.77,-87.3,2017,33.759:-87.295,33.770:-87.300
31.407,-88.176,31.41,-88.18,2017,31.407:-88.176,31.410:-88.180
32.048,-87.262,32.05,-87.26,2017,32.048:-87.262,32.050:-87.260
34.146,-87.373,34.13,-87.38,2017,34.146:-87.373,34.130:-87.380
34.245,-91.382,34.25,-91.38,2017,34.245:-91.382,34.250:-91.380
33.202,-91.801,33.21,-91.82,2017,33.202:-91.801,33.210:-91.820
36.236,-92.373,36.25,-92.38,2017,36.236:-92.373,36.250:-92.380
36.3,-94.216,36.29,-94.22,2017,36.300:-94.216,36.290:-94.220
36.306,-93.078,36.29,-93.06,2017,36.306:-93.078,36.290:-93.060
33.434,-92.171,33.45,-92.18,2017,33.434:-92.171,33.450:-92.180
36.31,-93.592,36.33,-93.58,2017,36.310:-93.592,36.330:-93.580
33.284,-91.252,33.29,-91.26,2017,33.284:-91.252,33.290:-91.260
36.35,-90.435,36.37,-90.42,2017,36.350:-90.435,36.370:-90.420
35.535,-92.021,35.53,-92.02,2017,35.535:-92.021,35.530:-92.020
33.884,-92.214,33.89,-92.22,2017,33.884:-92.214,33.890:-92.220
33.236,-93.235,33.25,-93.22,2017,33.236:-93.235,33.250:-93.220
35.267,-92.76,35.25,-92.78,2017,35.267:-92.760,35.250:-92.780
35.848,-90.662,35.85,-90.66,2017,35.848:-90.662,35.850:-90.660
35.554,-94.193,35.57,-94.18,2017,35.554:-94.193,35.570:-94.180
35.137,-90.286,35.13,-90.3,2017,35.137:-90.286,35.130:-90.300
35.297,-90.772,35.29,-90.78,2017,35.297:-90.772,35.290:-90.780
33.818,-91.214,33.81,-91.22,2017,33.818:-91.214,33.810:-91.220
33.591,-91.733,33.61,-91.74,2017,33.591:-91.733,33.610:-91.740
35.105,-92.357,35.09,-92.34,2017,35.105:-92.357,35.090:-92.340
35.487,-93.889,35.49,-93.9,2017,35.487:-93.889,35.490:-93.900
36.375,-91.805,36.37,-91.82,2017,36.375:-91.805,36.370:-91.820
34.581,-93.099,34.57,-93.1,2017,34.581:-93.099,34.570:-93.100
34.278,-92.443,34.29,-92.46,2017,34.278:-92.443,34.290:-92.460
36.116,-90.526,36.13,-90.54,2017,36.116:-90.526,36.130:-90.540
33.743,-93.713,33.73,-93.7,2017,33.743:-93.713,33.730:-93.700
34.052,-94.038,34.05,-94.02,2017,34.052:-94.038,34.050:-94.020
35.735,-91.534,35.73,-91.54,2017,35.735:-91.534,35.730:-91.540
36.064,-91.945,36.05,-91.94,2017,36.064:-91.945,36.050:-91.940
35.622,-91.309,35.61,-91.3,2017,35.622:-91.309,35.610:-91.300
35.548,-93.437,35.53,-93.42,2017,35.548:-93.437,35.530:-93.420
36.069,-91.053,36.05,-91.06,2017,36.069:-91.053,36.050:-91.060
34.77,-90.755,34.77,-90.74,2017,34.770:-90.755,34.770:-90.740
35.225,-93.71,35.21,-93.7,2017,35.225:-93.710,35.210:-93.700
36.034,-93.704,36.05,-93.7,2017,36.034:-93.704,36.050:-93.700
