"areasymbol"|"lkey"|"areaname"|"mlraoffice"|"areaacres"|"mbrminx"|"mbrminy"|"mbrmaxx"|"mbrmaxy"
"AK600"|10192|"Matanuska-Susitna Valley Area, Alaska"|"Portland, OR"|1779240|-150.572839723481|61.2376722656103|-148.452355770061|62.6599151067831
"AK605"|10194|"Anchorage Area, Alaska"|"Portland, OR"|288345|-150.292640631315|61.0412018296514|-148.911257752337|61.5268877900157
"AK610"|10193|"Greater Fairbanks Area, Alaska"|"Portland, OR"|263996|-148.050570470068|64.6036282897022|-147.042856877395|64.9500717494708
"AK612"|10198|"Copper River Area, Alaska"|"Portland, OR"|608594|-145.862099175083|61.4610683915897|-144.035947544813|62.3092504153569
"AK615"|10200|"Gerstle River Area, Alaska"|"Portland, OR"|86870|-145.560425161367|63.6684296156743|-144.543101391043|64.1029079242366
"AK622"|28768|"Skagway-Klondike Gold Rush National Historical Park, Alaska"|"Portland, OR"|193267|-135.722117524853|59.3407613835817|-135.094855045195|59.7975501667183
"AK625"|10203|"Totchaket Area, Alaska"|"Portland, OR"|592898|-150.326967717315|64.3431020235164|-149.104169086703|64.9146759912905
"AK631"|10207|"Yentna Area, Alaska"|"Portland, OR"|3225166|-152.112449175407|60.7106747445512|-150.086972574298|62.6394177175512
"AK636"|49776|"Bristol Bay-Northern Alaska Peninsula, North and Bordering Areas, Alaska"|"Portland, OR"|9260230|-159.732391719123|58.6128967070633|-154.108891021139|60.9272797788219
"AK639"|10208|"Lower Kenai Peninsula Area, Alaska"|"Portland, OR"|206969|-151.98945104983|59.1033984270312|-151.381788352376|59.486423053081
"AK640"|10209|"Upper Tanana Area, Alaska"|"Portland, OR"|162584|-146.742192268469|63.9823076938168|-145.765663233583|64.2839871765286
"AK641"|10210|"Haines Area, Alaska"|"Portland, OR"|341056|-136.438301681041|59.0425221547899|-135.229855130084|59.6481558609534
"AK642"|10211|"North Star Area, Alaska"|"Portland, OR"|1602908|-148.662512806614|64.3248098081046|-145.956125158166|65.4534862205171
"AK643"|10212|"Kantishna Area, Alaska"|"Portland, OR"|500162|-151.698150153265|64.4374413804395|-149.955617295155|64.8637980468319
"AK644"|10213|"Ketchikan Area, Alaska"|"Portland, OR"|5757398|-134.418436903372|54.6186349802908|-129.973661173216|56.4060704279087
"AK645"|10214|"Stikine Area, Alaska"|"Portland, OR"|3706477|-134.659327555789|55.7934021840931|-130.997934916443|57.434907026241
"AK646"|10215|"Chatham Area, Alaska"|"Portland, OR"|7209909|-136.668555310517|56.1280428422882|-132.36888451595|59.6078636990683
"AK649"|10219|"Gulkana River Area, Alaska"|"Portland, OR"|91987|-146.703336831776|62.5212830173161|-145.523536283617|62.9473796578263
"AK650"|10222|"Fort Wainwright Area, Alaska"|"Portland, OR"|931765|-148.652703737262|64.3328493550972|-146.168458314988|64.8474072656857
"AK651"|10221|"Denali National Park and Preserve Area, Alaska"|"Portland, OR"|6029019|-152.885039207545|62.2925215786329|-148.777379345219|64.0731732286617
"AK652"|10220|"Western Kenai Peninsula Area, Alaska"|"Portland, OR"|907308|-151.868609262263|59.5987383999513|-150.322262862381|61.0388863162904
"AK653"|10223|"Saint Paul Island Area, Alaska"|"Portland, OR"|28056|-170.421654075858|57.1067649967118|-170.097124624275|57.2496561794088
"AK654"|15608|"Western Interior Rivers Area, Alaska"|"Portland, OR"|9769057|-161.00002325617|60.8947897352133|-156.002344027116|63.0000135198909
"AK655"|16099|"Greater Nenana Area, Alaska"|"Portland, OR"|478165|-149.429486741333|64.1699920156843|-147.99196526419|64.9499708691977
"AK656"|18395|"Delta River Area, Alaska"|"Portland, OR"|47434|-146.243296204372|62.9393467542836|-145.722514568987|63.4778458799715
"AK657"|18373|"Greater Delta Area, Alaska"|"Portland, OR"|417933|-147.191883072446|63.7605225165783|-144.911544698981|64.6038682215229
"AK658"|18495|"Stewart River Training Site, Alaska"|"Portland, OR"|25539|-165.654615916696|64.7442830489502|-165.384569112618|64.8308989740998
