areaname,lkey,station_id,solar_region_key,station_name,latitude,longitude,soil_sim,solar_sim,weather_sim_2000,weather_sim_2010,weather_sim_future,comp_sim_2000,comp_sim_2010,comp_sim_future
"Napa County, California",14083,724955-93227,38.490:-122.340,NAPA COUNTY AIRPORT,38.509639739990234,-122.35427856445312,1.0,1.0,0.932408332824707,1.0,0.9999420046806335,0.9774694442749023,1.0,0.9999806682268778
"San Luis Obispo County, California, Coastal Part",14122,722897-93206,35.330:-120.780,SAN LUIS CO REGIONAL AR,35.349266052246094,-120.76023864746094,0.9167017,0.9257458,0.8832186460494995,0.9230220317840576,0.9230235815048218,0.9085553685824076,0.9218231638272603,0.9218236804008484
"Sonoma County, California",14089,724957-23213,38.450:-122.940,SONOMA COUNTY AIRPORT,38.46106719970703,-122.94113159179688,0.9010171,0.9862608,0.7870384454727173,0.8428505659103394,0.8428456783294678,0.8914387822151184,0.9100428223609924,0.9100411931673685
"El Dorado Area, California",14101,720267-23224,38.770:-120.820,AUBURN MUNICIPAL AIRPOR,38.75638198852539,-120.806640625,0.9265681,0.98593736,0.19597451388835907,0.7975508570671082,0.7975494861602783,0.7028266539176304,0.9033521016438801,0.9033516446749369
"Lake County, California",14080,725905-23275,39.130:-122.700,UKIAH MUNICIPAL AIRPORT,39.124656677246094,-122.71699523925781,0.9271008,0.9944884,0.7406250238418579,0.7626655697822571,0.7626699805259705,0.88740473985672,0.8947515885035197,0.8947530587514241
"Alameda Area, California",14096,724927-23285,37.650:-121.820,LIVERMORE MUNICIPAL ARP,37.63909912109375,-121.82398986816406,0.891408,0.9876606,0.7676478624343872,0.7906838059425354,0.7911861538887024,0.8822388251622517,0.889917472998301,0.8900849223136901
"Mendocino National Forest Area, California",20767,725905-23275,39.770:-123.020,UKIAH MUNICIPAL AIRPORT,39.785400390625,-123.00363159179688,0.9082144,0.9937477,0.7406250238418579,0.7626655697822571,0.7626699805259705,0.8808623751004536,0.8882092237472534,0.8882106939951578
"Mendocino County, Eastern Part and Southwestern Part of Trinity County, California",14142,725905-23275,39.530:-123.220,UKIAH MUNICIPAL AIRPORT,39.52397918701172,-123.22258758544922,0.91300696,0.9889427,0.7406250238418579,0.7626655697822571,0.7626699805259705,0.8808582226435342,0.888205071290334,0.8882065415382384
"Josephine County, Oregon",14189,725975-24235,42.410:-123.620,SEXTON SUMMIT,42.38957214355469,-123.63536834716797,0.9375384,0.9608794,0.6985815167427063,0.7505214810371399,0.7506324648857117,0.8656664292017618,0.8829797506332397,0.8830167452494303
"Mendocino County, Western Part, California",14149,725905-23275,39.370:-123.620,UKIAH MUNICIPAL AIRPORT,39.37998580932617,-123.63709259033203,0.8735998,0.9776872,0.7406250238418579,0.7626655697822571,0.7626699805259705,0.8639706770579019,0.8713175257047017,0.8713189959526061
"Butte Area, California, Parts of Butte and Plumas Counties",14098,745048-93210,39.690:-121.540,OROVILLE MUNICIPAL AIRP,39.70159912109375,-121.55901336669922,0.7967595,0.9877587,0.6749557256698608,0.7810786366462708,0.7810790538787842,0.8198246359825134,0.8551989396413167,0.8551990787188212
"Six Rivers National Forest Area, California",14153,725945-24283,41.010:-123.620,ARCATA AIRPORT,41.00693130493164,-123.6056900024414,0.90415865,0.9777497,0.6174635887145996,0.682815670967102,0.6830250024795532,0.8331239819526671,0.854908009370168,0.854977786540985
"Trinity County, California, Weaverville Area",14094,725920-24257,40.650:-122.980,REDDING MUNICIPAL AIRPO,40.657936096191406,-122.96592712402344,0.8390158,0.99130476,0.7014263868331909,0.7309365272521973,0.7302054762840271,0.8439156413078307,0.8537523547808328,0.8535086711247761
"Nevada County Area, California",14099,720267-23224,39.210:-121.060,AUBURN MUNICIPAL AIRPOR,39.22084045410156,-121.04833984375,0.7525755,0.9910515,0.19597451388835907,0.7975508570671082,0.7975494861602783,0.6465338418881098,0.8470592896143595,0.8470588326454163
