lkey|station_id|solar_region_key|areaname|weather_station
28768|703620-25335|59.570:-135.420|"Skagway-Klondike Gold Rush National Historical Park, Alaska"|SKAGWAY AIRPORT
49776|703061-25521|59.770:-156.940|"Bristol Bay-Northern Alaska Peninsula, North and Bordering Areas, Alaska"|IGIUGIG AIRPORT
10208|703621-25516|59.290:-151.700|"Lower Kenai Peninsula Area, Alaska"|SELDOVIA AIRPORT
10210|703626-25323|59.330:-135.820|"Haines Area, Alaska"|HAINES
10213|703950-25325|55.530:-132.180|"Ketchikan Area, Alaska"|KETCHIKAN INTL AIRPORT
10214|703860-25329|56.610:-132.820|"Stikine Area, Alaska"|JAMES A JOHNSON AIRPORT
10215|703830-25310|57.850:-134.500|"Chatham Area, Alaska"|ANGOON SEAPLANE BASE
10223|703080-25713|57.170:-170.260|"Saint Paul Island Area, Alaska"|ST PAUL ISLAND AIRPORT
12755|722265-13821|32.490:-86.660|"Autauga County, Alabama"|MAXWELL AFB AIRPORT
12756|722235-13838|30.730:-87.740|"Baldwin County, Alabama"|MOBILE DOWNTOWN AIRPORT
12757|720363-63872|31.890:-85.380|"Barbour County, Alabama"|WEEDON FIELD AIRPORT
12758|722300-53864|33.050:-87.140|"Bibb County, Alabama"|SHELBY COUNTY AIRPORT
12759|722031-63839|34.010:-86.620|"Blount County, Alabama"|FOLSOM FIELD AP
12760|720363-63872|32.090:-85.700|"Bullock County, Alabama"|WEEDON FIELD AIRPORT
12761|720362-63874|31.730:-86.660|"Butler County, Alabama"|MAC CRENSHAW MEMORIAL A
14893|722287-13871|33.770:-85.820|"Calhoun County, Alabama"|ANNISTON METROPOLITAN A
11122|720265-63833|32.930:-85.340|"Chambers County, Alabama"|THOMAS C RUSSELL FLD AR
14894|A00013-63847|34.250:-85.620|"Cherokee County, Alabama"|ISBELL FIELD AIRPORT
12762|722300-53864|32.850:-86.700|"Chilton County, Alabama"|SHELBY COUNTY AIRPORT
12763|722340-13865|32.010:-88.220|"Choctaw County, Alabama"|KEY FIELD AIRPORT
12764|722276-53820|31.570:-87.860|"Clarke County, Alabama"|MIDDLETON FIELD AIRPORT
11123|722287-13871|33.290:-85.900|"Clay County, Alabama"|ANNISTON METROPOLITAN A
11124|722287-13871|33.730:-85.580|"Cleburne County, Alabama"|ANNISTON METROPOLITAN A
12765|722239-53861|31.410:-85.980|"Coffee County, Alabama"|LOWE ARMY HELIPORT (FOR
12766|723235-13896|34.730:-87.780|"Colbert County, Alabama"|NORTH WEST ALABAMA REGI
12767|722276-53820|31.450:-87.060|"Conecuh County, Alabama"|MIDDLETON FIELD AIRPORT
11125|720265-63833|32.930:-86.260|"Coosa County, Alabama"|THOMAS C RUSSELL FLD AR
12768|722275-53843|31.250:-86.460|"Covington County, Alabama"|ANDALUSIA-OPP  MUNICIPA
12769|720362-63874|31.730:-86.340|"Crenshaw County, Alabama"|MAC CRENSHAW MEMORIAL A
12770|722031-63839|34.090:-86.820|"Cullman County, Alabama"|FOLSOM FIELD AP
12771|722238-63873|31.410:-85.620|"Dale County, Alabama"|HANCHEY ARMY HELIPORT (
12772|722260-13895|32.370:-87.140|"Dallas County, Alabama"|MONTGOMERY  RGNL (DANNE
12773|A00013-63847|34.530:-85.820|"DeKalb County, Alabama"|ISBELL FIELD AIRPORT
12774|722265-13821|32.570:-86.140|"Elmore County, Alabama"|MAXWELL AFB AIRPORT
12775|722276-53820|31.130:-87.140|"Escambia County, Alabama"|MIDDLETON FIELD AIRPORT
12776|720376-63880|34.010:-86.060|"Etowah County, Alabama"|THE ALBERTVILLE MUNI AR
12777|722286-93806|33.730:-87.700|"Fayette County, Alabama"|TUSCALOOSA MUNICIPAL AR
12778|723235-13896|34.450:-87.860|"Franklin County, Alabama"|NORTH WEST ALABAMA REGI
12779|722239-53861|31.090:-85.820|"Geneva County, Alabama"|LOWE ARMY HELIPORT (FOR
12780|722286-93806|32.850:-87.940|"Greene County, Alabama"|TUSCALOOSA MUNICIPAL AR
12781|722286-93806|32.730:-87.660|"Hale County, Alabama"|TUSCALOOSA MUNICIPAL AR
12782|722268-13839|31.530:-85.220|"Henry County, Alabama"|DOTHAN REGIONAL AIRPORT
12886|722268-13839|31.170:-85.340|"Houston County, Alabama"|DOTHAN REGIONAL AIRPORT
14895|A00013-63847|34.730:-85.980|"Jackson County, Alabama"|ISBELL FIELD AIRPORT
12784|722280-13876|33.530:-86.940|"Jefferson County, Alabama"|BIRMINGHAM INTERNATIONA
12785|723306-13825|33.810:-88.100|"Lamar County, Alabama"|COLUMBUS AFB AIRPORT
14896|723235-13896|34.850:-87.700|"Lauderdale County, Alabama"|NORTH WEST ALABAMA REGI
12786|723235-13896|34.570:-87.300|"Lawrence County, Alabama"|NORTH WEST ALABAMA REGI
12787|722255-93842|32.570:-85.340|"Lee County, Alabama"|COLUMBUS METRO AIRPORT
14897|722279-53852|34.770:-87.020|"Limestone County, Alabama"|PRYOR FIELD REGIONAL AR
12788|722260-13895|32.170:-86.660|"Lowndes County, Alabama"|MONTGOMERY  RGNL (DANNE
12789|722265-13821|32.410:-85.740|"Macon County, Alabama"|MAXWELL AFB AIRPORT
14898|720307-63804|34.730:-86.540|"Madison County, Alabama"|MADISON CO EXECUTIVE AR
12791|723306-13825|34.130:-87.940|"Marion County, Alabama"|COLUMBUS AFB AIRPORT
12792|720376-63880|34.370:-86.300|"Marshall County, Alabama"|THE ALBERTVILLE MUNI AR
12793|722230-13894|30.650:-88.180|"Mobile County, Alabama"|MOBILE REGIONAL AIRPORT
12794|722276-53820|31.530:-87.340|"Monroe County, Alabama"|MIDDLETON FIELD AIRPORT
12795|722260-13895|32.250:-86.220|"Montgomery County, Alabama"|MONTGOMERY  RGNL (DANNE
12796|722279-53852|34.490:-86.820|"Morgan County, Alabama"|PRYOR FIELD REGIONAL AR
12797|722286-93806|32.610:-87.260|"Perry County, Alabama"|TUSCALOOSA MUNICIPAL AR
12798|722286-93806|33.250:-88.100|"Pickens County, Alabama"|TUSCALOOSA MUNICIPAL AR
12799|722239-53861|31.850:-85.940|"Pike County, Alabama"|LOWE ARMY HELIPORT (FOR
11126|722287-13871|33.290:-85.460|"Randolph County, Alabama"|ANNISTON METROPOLITAN A
12800|722250-13829|32.290:-85.180|"Russell County, Alabama"|LAWSON AAF AIRPORT
