SoilLat,SoilLon,SolarLat,SolarLon,Year,SoilRegionKey,SolarRegionKey,lkey
59.568999999999996,-135.408,59.57,-135.42,2017,59.569:-135.408,-135.408:59.570,28768
59.77,-156.921,59.77,-156.94,2017,59.770:-156.921,-156.921:59.770,49776
59.295,-151.686,59.29,-151.7,2017,59.295:-151.686,-151.686:59.290,10208
59.345,-135.834,59.33,-135.82,2017,59.345:-135.834,-135.834:59.330,10210
55.512,-132.196,55.53,-132.18,2017,55.512:-132.196,-132.196:55.530,10213
56.614,-132.829,56.61,-132.82,2017,56.614:-132.829,-132.829:56.610,10214
57.868,-134.519,57.85,-134.5,2017,57.868:-134.519,-134.519:57.850,10215
57.178000000000004,-170.25900000000001,57.17,-170.26,2017,57.178:-170.259,-170.259:57.170,10223
32.508,-86.666,32.49,-86.66,2017,32.508:-86.666,-86.666:32.490,12755
30.732,-87.72200000000001,30.73,-87.74,2017,30.732:-87.722,-87.722:30.730,12756
31.883000000000003,-85.398,31.89,-85.38,2017,31.883:-85.398,-85.398:31.890,12757
33.039,-87.149,33.05,-87.14,2017,33.039:-87.149,-87.149:33.050,12758
34.013000000000005,-86.633,34.01,-86.62,2017,34.013:-86.633,-86.633:34.010,12759
32.093,-85.705,32.09,-85.7,2017,32.093:-85.705,-85.705:32.090,12760
31.744,-86.67399999999999,31.73,-86.66,2017,31.744:-86.674,-86.674:31.730,12761
33.762,-85.838,33.77,-85.82,2017,33.762:-85.838,-85.838:33.770,14893
32.919000000000004,-85.35799999999999,32.93,-85.34,2017,32.919:-85.358,-85.358:32.930,11122
34.234,-85.62100000000001,34.25,-85.62,2017,34.234:-85.621,-85.621:34.250,14894
32.866,-86.695,32.85,-86.7,2017,32.866:-86.695,-86.695:32.850,12762
32.004,-88.20100000000001,32.01,-88.22,2017,32.004:-88.201,-88.201:32.010,12763
31.588,-87.84100000000001,31.57,-87.86,2017,31.588:-87.841,-87.841:31.570,12764
33.295,-85.90799999999999,33.29,-85.9,2017,33.295:-85.908,-85.908:33.290,11123
33.717,-85.596,33.73,-85.58,2017,33.717:-85.596,-85.596:33.730,11124
31.401,-85.993,31.41,-85.98,2017,31.401:-85.993,-85.993:31.410,12765
34.736,-87.77799999999999,34.73,-87.78,2017,34.736:-87.778,-87.778:34.730,12766
31.467,-87.045,31.45,-87.06,2017,31.467:-87.045,-87.045:31.450,12767
32.929,-86.26100000000001,32.93,-86.26,2017,32.929:-86.261,-86.261:32.930,11125
31.261,-86.445,31.25,-86.46,2017,31.261:-86.445,-86.445:31.250,12768
31.746,-86.324,31.73,-86.34,2017,31.746:-86.324,-86.324:31.730,12769
34.086,-86.801,34.09,-86.82,2017,34.086:-86.801,-86.801:34.090,12770
31.408,-85.603,31.41,-85.62,2017,31.408:-85.603,-85.603:31.410,12771
32.388000000000005,-87.14,32.37,-87.14,2017,32.388:-87.140,-87.140:32.370,12772
34.53,-85.816,34.53,-85.82,2017,34.530:-85.816,-85.816:34.530,12773
32.588,-86.133,32.57,-86.14,2017,32.588:-86.133,-86.133:32.570,12774
31.128,-87.152,31.13,-87.14,2017,31.128:-87.152,-87.152:31.130,12775
34.021,-86.055,34.01,-86.06,2017,34.021:-86.055,-86.055:34.010,12776
33.72,-87.68799999999999,33.73,-87.7,2017,33.720:-87.688,-87.688:33.730,12777
34.443000000000005,-87.852,34.45,-87.86,2017,34.443:-87.852,-87.852:34.450,12778
31.096,-85.839,31.09,-85.82,2017,31.096:-85.839,-85.839:31.090,12779
32.836,-87.95700000000001,32.85,-87.94,2017,32.836:-87.957,-87.957:32.850,12780
32.744,-87.646,32.73,-87.66,2017,32.744:-87.646,-87.646:32.730,12781
31.541,-85.23,31.53,-85.22,2017,31.541:-85.230,-85.230:31.530,12782
31.156,-85.35600000000001,31.17,-85.34,2017,31.156:-85.356,-85.356:31.170,12886
34.728,-85.971,34.73,-85.98,2017,34.728:-85.971,-85.971:34.730,14895
33.545,-86.929,33.53,-86.94,2017,33.545:-86.929,-86.929:33.530,12784
33.792,-88.11,33.81,-88.1,2017,33.792:-88.110,-88.110:33.810,12785
34.87,-87.70700000000001,34.85,-87.7,2017,34.870:-87.707,-87.707:34.850,14896
34.552,-87.318,34.57,-87.3,2017,34.552:-87.318,-87.318:34.570,12786
32.578,-85.34899999999999,32.57,-85.34,2017,32.578:-85.349,-85.349:32.570,12787
34.775,-87.03200000000001,34.77,-87.02,2017,34.775:-87.032,-87.032:34.770,14897
32.184,-86.652,32.17,-86.66,2017,32.184:-86.652,-86.652:32.170,12788
32.414,-85.729,32.41,-85.74,2017,32.414:-85.729,-85.729:32.410,12789
34.734,-86.523,34.73,-86.54,2017,34.734:-86.523,-86.523:34.730,14898
32.269,-87.795,32.25,-87.78,2017,32.269:-87.795,-87.795:32.250,12790
34.118,-87.921,34.13,-87.94,2017,34.118:-87.921,-87.921:34.130,12791
34.35,-86.32,34.37,-86.3,2017,34.350:-86.320,-86.320:34.370,12792
30.658,-88.178,30.65,-88.18,2017,30.658:-88.178,-88.178:30.650,12793
31.529,-87.346,31.53,-87.34,2017,31.529:-87.346,-87.346:31.530,12794
32.233000000000004,-86.215,32.25,-86.22,2017,32.233:-86.215,-86.215:32.250,12795
34.496,-86.83,34.49,-86.82,2017,34.496:-86.830,-86.830:34.490,12796
32.591,-87.272,32.61,-87.26,2017,32.591:-87.272,-87.272:32.610,12797
33.263000000000005,-88.089,33.25,-88.1,2017,33.263:-88.089,-88.089:33.250,12798
31.839000000000002,-85.929,31.85,-85.94,2017,31.839:-85.929,-85.929:31.850,12799
33.304,-85.443,33.29,-85.46,2017,33.304:-85.443,-85.443:33.290,11126
32.286,-85.162,32.29,-85.18,2017,32.286:-85.162,-85.162:32.290,12800
33.69,-86.311,33.69,-86.3,2017,33.690:-86.311,-86.311:33.690,12801
33.282,-86.684,33.29,-86.7,2017,33.282:-86.684,-86.684:33.290,12802
32.652,-88.131,32.65,-88.14,2017,32.652:-88.131,-88.131:32.650,12803
33.400999999999996,-86.149,33.41,-86.14,2017,33.401:-86.149,-86.149:33.410,14899
32.8,-85.804,32.81,-85.82,2017,32.800:-85.804,-85.804:32.810,11127
33.306999999999995,-87.45299999999999,33.29,-87.46,2017,33.307:-87.453,-87.453:33.290,12804
33.759,-87.295,33.77,-87.3,2017,33.759:-87.295,-87.295:33.770,12805
31.406999999999996,-88.176,31.41,-88.18,2017,31.407:-88.176,-88.176:31.410,12806
32.048,-87.262,32.05,-87.26,2017,32.048:-87.262,-87.262:32.050,12807
34.146,-87.37299999999999,34.13,-87.38,2017,34.146:-87.373,-87.373:34.130,12808
34.245,-91.382,34.25,-91.38,2017,34.245:-91.382,-91.382:34.250,15091
33.202,-91.801,33.21,-91.82,2017,33.202:-91.801,-91.801:33.210,15092
36.236,-92.37299999999999,36.25,-92.38,2017,36.236:-92.373,-92.373:36.250,59976
36.3,-94.21600000000001,36.29,-94.22,2017,36.300:-94.216,-94.216:36.290,15093
36.306,-93.07799999999999,36.29,-93.06,2017,36.306:-93.078,-93.078:36.290,15094
33.434,-92.171,33.45,-92.18,2017,33.434:-92.171,-92.171:33.450,15095
36.31,-93.59200000000001,36.33,-93.58,2017,36.310:-93.592,-93.592:36.330,15096
33.284,-91.25200000000001,33.29,-91.26,2017,33.284:-91.252,-91.252:33.290,15097
36.35,-90.435,36.37,-90.42,2017,36.350:-90.435,-90.435:36.370,15098
35.535,-92.021,35.53,-92.02,2017,35.535:-92.021,-92.021:35.530,84276
33.884,-92.214,33.89,-92.22,2017,33.884:-92.214,-92.214:33.890,15099
33.236,-93.235,33.25,-93.22,2017,33.236:-93.235,-93.235:33.250,15100
35.266999999999996,-92.76,35.25,-92.78,2017,35.267:-92.760,-92.760:35.250,15101
35.848,-90.662,35.85,-90.66,2017,35.848:-90.662,-90.662:35.850,15102
35.554,-94.193,35.57,-94.18,2017,35.554:-94.193,-94.193:35.570,15103
35.137,-90.286,35.13,-90.3,2017,35.137:-90.286,-90.286:35.130,15104
35.297,-90.772,35.29,-90.78,2017,35.297:-90.772,-90.772:35.290,15105
33.818000000000005,-91.214,33.81,-91.22,2017,33.818:-91.214,-91.214:33.810,15106
33.591,-91.73299999999999,33.61,-91.74,2017,33.591:-91.733,-91.733:33.610,15107
35.105,-92.35700000000001,35.09,-92.34,2017,35.105:-92.357,-92.357:35.090,15108
35.486999999999995,-93.889,35.49,-93.9,2017,35.487:-93.889,-93.889:35.490,15109
36.375,-91.805,36.37,-91.82,2017,36.375:-91.805,-91.805:36.370,59978
34.580999999999996,-93.09899999999999,34.57,-93.1,2017,34.581:-93.099,-93.099:34.570,15110
34.278,-92.443,34.29,-92.46,2017,34.278:-92.443,-92.443:34.290,15111
36.116,-90.52600000000001,36.13,-90.54,2017,36.116:-90.526,-90.526:36.130,15113
33.743,-93.713,33.73,-93.7,2017,33.743:-93.713,-93.713:33.730,15114
34.052,-94.038,34.05,-94.02,2017,34.052:-94.038,-94.038:34.050,15115
35.735,-91.53399999999999,35.73,-91.54,2017,35.735:-91.534,-91.534:35.730,15116
36.064,-91.945,36.05,-91.94,2017,36.064:-91.945,-91.945:36.050,59980
35.622,-91.309,35.61,-91.3,2017,35.622:-91.309,-91.309:35.610,15117
35.548,-93.43700000000001,35.53,-93.42,2017,35.548:-93.437,-93.437:35.530,15118
36.069,-91.053,36.05,-91.06,2017,36.069:-91.053,-91.053:36.050,15119
34.77,-90.755,34.77,-90.74,2017,34.770:-90.755,-90.755:34.770,15120
35.225,-93.71,35.21,-93.7,2017,35.225:-93.710,-93.710:35.210,15121
36.034,-93.704,36.05,-93.7,2017,36.034:-93.704,-93.704:36.050,15122
36.281,-92.649,36.29,-92.66,2017,36.281:-92.649,-92.649:36.290,59977
35.7,-89.96600000000001,35.69,-89.98,2017,35.700:-89.966,-89.966:35.690,15123
34.67,-91.22399999999999,34.69,-91.22,2017,34.670:-91.224,-91.224:34.690,15124
34.543,-93.665,34.53,-93.66,2017,34.543:-93.665,-93.665:34.530,15125
