lkey|station_id|solar_region_key|areaname|weather_station
28768|703620-25335|-135.408:59.570|"Skagway-Klondike Gold Rush National Historical Park, Alaska"|SKAGWAY AIRPORT
49776|703925-99999|-156.921:59.770|"Bristol Bay-Northern Alaska Peninsula, North and Bordering Areas, Alaska"|KOLIGANEK
10208|998198-99999|-151.686:59.290|"Lower Kenai Peninsula Area, Alaska"|SELDOVIA
10210|999999-25323|-135.834:59.330|"Haines Area, Alaska"|HAINES
10213|999999-25325|-132.196:55.530|"Ketchikan Area, Alaska"|KETCHIKAN TONGASS
10214|703863-99999|-132.829:56.610|"Stikine Area, Alaska"|FREDERICKS POINT
10215|997178-99999|-134.519:57.850|"Chatham Area, Alaska"|MARMION ISLAND
10223|703080-25713|-170.259:57.170|"Saint Paul Island Area, Alaska"|ST PAUL ISLAND AIRPORT
12755|722265-99999|-86.666:32.490|"Autauga County, Alabama"|MAXWELL AFB
12756|997784-99999|-87.722:30.730|"Baldwin County, Alabama"|MEAHER PARK
12757|720363-63872|-85.398:31.890|"Barbour County, Alabama"|WEEDON FIELD AIRPORT
12758|999999-3881|-87.149:33.050|"Bibb County, Alabama"|CENTREVILLE WSMO
12759|999999-63867|-86.633:34.010|"Blount County, Alabama"|CULLMAN 3 ENE
12760|722267-99999|-85.705:32.090|"Bullock County, Alabama"|TROY MUNI
12761|720362-63874|-86.674:31.730|"Butler County, Alabama"|MAC CRENSHAW MEMORIAL A
14893|999999-13871|-85.838:33.770|"Calhoun County, Alabama"|ANNISTON CALHOUN CO AP
11122|747807-99999|-85.358:32.930|"Chambers County, Alabama"|LAGRANGE CALLAWAY
14894|999999-440|-85.621:34.250|"Cherokee County, Alabama"|CULLMAN REGIONAL AIRPOR
12762|999999-63891|-86.695:32.850|"Chilton County, Alabama"|CLANTON 2 NE
12763|999999-23802|-88.201:32.010|"Choctaw County, Alabama"|THOMASVILLE 2 S
12764|999999-23802|-87.841:31.570|"Clarke County, Alabama"|THOMASVILLE 2 S
11123|999999-13871|-85.908:33.290|"Clay County, Alabama"|ANNISTON CALHOUN CO AP
11124|722287-13871|-85.596:33.730|"Cleburne County, Alabama"|ANNISTON METROPOLITAN A
12765|722219-99999|-85.993:31.410|"Coffee County, Alabama"|SHELL AHP
12766|999999-63894|-87.778:34.730|"Colbert County, Alabama"|MUSCLE SHOALS 2 N
12767|722276-99999|-87.045:31.450|"Conecuh County, Alabama"|MIDDLETON FLD
