areasymbol,lkey,areaname,mlraoffice,longitude,latitude,mbrminx,mbrminy,mbrmaxx,mbrmaxy
AK600,10192,"Matanuska-Susitna Valley Area, Alaska","Portland, OR",-149.512597746771,61.948793686196694,-150.572839723481,61.23767226561029,-148.452355770061,62.6599151067831
AK605,10194,"Anchorage Area, Alaska","Portland, OR",-149.601949191826,61.284044809833546,-150.292640631315,61.04120182965139,-148.911257752337,61.52688779001571
AK610,10193,"Greater Fairbanks Area, Alaska","Portland, OR",-147.54671367373152,64.7768500195865,-148.050570470068,64.6036282897022,-147.042856877395,64.9500717494708
AK612,10198,"Copper River Area, Alaska","Portland, OR",-144.949023359948,61.885159403473295,-145.86209917508302,61.4610683915897,-144.035947544813,62.3092504153569
AK615,10200,"Gerstle River Area, Alaska","Portland, OR",-145.051763276205,63.88566876995545,-145.560425161367,63.6684296156743,-144.543101391043,64.1029079242366
AK622,28768,"Skagway-Klondike Gold Rush National Historical Park, Alaska","Portland, OR",-135.408486285024,59.56915577515,-135.722117524853,59.34076138358171,-135.094855045195,59.797550166718295
AK625,10203,"Totchaket Area, Alaska","Portland, OR",-149.715568402009,64.62888900740344,-150.326967717315,64.3431020235164,-149.104169086703,64.91467599129051
AK631,10207,"Yentna Area, Alaska","Portland, OR",-151.09971087485252,61.6750462310512,-152.11244917540702,60.7106747445512,-150.086972574298,62.639417717551204
AK636,49776,"Bristol Bay-Northern Alaska Peninsula, North and Bordering Areas, Alaska","Portland, OR",-156.920641370131,59.77008824294259,-159.732391719123,58.61289670706329,-154.108891021139,60.9272797788219
AK639,10208,"Lower Kenai Peninsula Area, Alaska","Portland, OR",-151.685619701103,59.294910740056096,-151.98945104983,59.1033984270312,-151.381788352376,59.486423053081
AK640,10209,"Upper Tanana Area, Alaska","Portland, OR",-146.253927751026,64.1331474351727,-146.742192268469,63.98230769381679,-145.76566323358298,64.2839871765286
AK641,10210,"Haines Area, Alaska","Portland, OR",-135.83407840556248,59.345339007871644,-136.438301681041,59.04252215478989,-135.229855130084,59.648155860953395
AK642,10211,"North Star Area, Alaska","Portland, OR",-147.30931898238998,64.88914801431085,-148.662512806614,64.3248098081046,-145.956125158166,65.4534862205171
AK643,10212,"Kantishna Area, Alaska","Portland, OR",-150.82688372421,64.65061971363569,-151.698150153265,64.4374413804395,-149.95561729515498,64.86379804683189
AK644,10213,"Ketchikan Area, Alaska","Portland, OR",-132.196049038294,55.512352704099754,-134.418436903372,54.61863498029079,-129.973661173216,56.40607042790871
