195,106160-99999	-12.647678851760485,-30.48087308730873,51.565373402108094,0.0,0.0,-12.665186281766593,-37.889930898321815,43.95583518381446,0.0,0.0,34.813844086021504,0.894167980184643,41.92338709677419,0.0,0.0,64.39467592592592,20.869211077495926,39.705787037037034,0.0,0.0,109.71617383512545,58.87320788530466,37.154793906810035,0.0,0.0,141.25167862931235,91.44803921568628,33.63718453345682,0.0,0.0,162.21540106951872,115.72721437740694,36.70951871657754,0.0,0.0,152.70238095238096,112.54013056835637,36.15495391705069,0.0,0.0,132.7158166302838,92.9942448898591,39.034530660845405,0.0,0.0,86.70295698924731,61.36616743471582,39.010560675883255,0.0,0.0,31.89781746031746,15.782496527088709,40.918055555555554,0.0,0.0,18.212173579109063,4.503072196620583,48.92223502304147,0.0,0.0
195,106270-99999	None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,42.64102564102564,25.416666666666668,16.314102564102566,0.0,0.0,45.0,21.34285714285714,31.725714285714286,0.0,0.0
195,108030-99999	12.543906810035843,-18.642473118279568,20.55331541218638,0.0,0.0,19.956671590349583,-18.75972427375677,23.416051206302313,0.0,0.0,64.36188340807175,5.119282511210763,20.55201793721973,0.0,0.0,96.58638258452987,29.55375347544022,20.84251968503937,0.0,0.0,144.16270730614073,74.2030479605558,19.89336917562724,0.0,0.0,174.23205187586845,112.92311255210745,18.068087077350626,0.0,0.0,195.33723021582733,130.79361510791367,18.77293165467626,0.0,0.0,185.34094982078852,126.44220430107526,19.44668458781362,0.0,0.0,155.17314814814816,110.35833333333333,20.54259259259259,0.0,0.0,100.03539426523298,68.6760752688172,15.09363799283154,0.0,0.0,53.68518518518518,26.08985641500695,16.949537037037036,0.0,0.0,27.940620782726047,2.049054905490549,19.449842555105715,0.0,0.0
195,108360-99999	-24.915399239543728,-44.05142857142857,51.8168880455408,0.0,0.0,-12.690052356020942,-31.69831223628692,50.43874345549738,0.0,0.0,32.71547729379055,-11.568118628359592,47.16867469879518,0.0,0.0,67.27915869980879,14.218929254302104,48.12702960840497,0.0,0.0,115.67490494296578,61.61787072243346,40.46723646723647,0.0,0.0,149.73636363636365,101.25708502024291,34.2979797979798,0.0,0.0,166.2437379576108,112.09730250481695,38.21868978805395,0.0,0.0,162.3560885608856,107.40867158671587,35.093173431734314,0.0,0.0,120.40816326530613,86.58600583090379,45.68804664723032,0.0,0.0,76.26908023483367,48.4706457925636,40.94618395303327,0.0,0.0,25.615686274509805,8.539744847890088,50.37549019607843,0.0,0.0,-6.94089609151573,-22.45315487571702,46.07626310772164,0.0,0.0
195,108580-99999	-15.751974458074272,-35.21381744831064,41.70778020500756,0.0,0.0,-13.222468179302712,-36.79671647297547,39.9411547684929,0.0,0.0,40.66392202991094,1.8028431206633948,40.65272177419355,0.0,0.0,78.1359375,30.966134074331364,38.92256944444444,0.0,0.0,122.35098335854765,68.97830109335577,37.62970430107527,0.0,0.0,160.88611111111112,111.39961792288989,35.48020833333333,0.0,0.0,181.87346664426147,129.0724248025542,36.710853494623656,0.0,0.0,171.36736415794803,123.23713080168777,33.202627589691765,0.0,0.0,137.54270833333334,101.29124696075026,35.54496527777778,0.0,0.0,82.59186417885358,58.885598923283986,30.74504201680672,0.0,0.0,28.80392935106172,12.834689422504464,36.15099206349206,0.0,0.0,3.3136765270841337,-11.99250720461095,34.77434223161129,0.0,0.0
195,108690-99999	-13.999663978494624,-34.50319220430107,29.084845430107528,0.0,0.0,-11.248525073746313,-33.90872210953347,28.5726401179941,0.0,0.0,43.852486559139784,2.7289624873267995,27.366599462365592,0.0,0.0,82.57743055555555,31.69595415870811,26.18125,0.0,0.0,125.72840336134453,69.78517397881997,23.783434139784948,0.0,0.0,163.50009260974255,110.62141137247639,21.967401370624188,0.0,0.0,184.9447004608295,127.96407990779869,23.881912442396313,0.0,0.0,174.09562211981566,122.74980798771121,21.472350230414747,0.0,0.0,138.36552995391705,99.7015668202765,23.36847926267281,0.0,0.0,84.44605042016806,59.11541049798116,19.954285714285714,0.0,0.0,30.48174745661281,11.571115100738082,26.722632103688934,0.0,0.0,4.768817204301075,-12.157642089093702,24.54032258064516,0.0,0.0
195,115180-99999	-20.636449480642113,-40.928166351606805,52.93071161048689,0.0,0.0,-28.54858934169279,-47.125395152792414,44.80416666666667,0.0,0.0,26.49236641221374,-13.551923076923076,40.95238095238095,0.0,0.0,76.87719298245614,20.017629774730658,42.05145631067961,0.0,0.0,123.74976744186047,61.32866479925303,40.568391866913124,0.0,0.0,161.6749285033365,99.83572110792741,38.88783269961977,0.0,0.0,180.67562380038387,126.34393063583815,39.95693779904306,0.0,0.0,170.73396226415093,116.82542694497154,35.954802259887,0.0,0.0,134.22199592668025,83.3224155578301,37.42004048582996,0.0,0.0,82.93181818181819,46.63619047619048,38.91792452830189,0.0,0.0,25.83219512195122,7.379040156709109,35.49756572541383,0.0,0.0,3.307042253521127,-11.932139491046183,42.0037488284911,0.0,0.0
195,119030-99999	-42.802158273381295,-56.276672694394215,11.793960923623446,0.0,0.0,-36.35840707964602,-56.65625,16.783842794759824,0.0,0.0,16.107664233576642,-21.492673992673993,20.74502712477396,0.0,0.0,80.04628099173554,20.706953642384107,26.624590163934425,0.0,0.0,129.56422764227642,68.82594417077176,25.553398058252426,0.0,0.0,170.1,113.5625,23.21661237785016,0.0,0.0,188.7733564013841,125.84293193717278,19.982788296041306,0.0,0.0,177.9966832504146,121.64559068219634,16.492537313432837,0.0,0.0,126.75885328836425,73.02364864864865,14.52861952861953,0.0,0.0,70.73186119873817,32.00949367088607,11.811616954474097,0.0,0.0,28.16329704510109,5.9421875,12.56279069767442,0.0,0.0,7.298219584569733,-7.0774962742175855,14.948148148148148,0.0,0.0
195,209670-99999	-219.43367346938774,-240.0103626943005,79.86868686868686,0.0,37.878787878787875,-260.9112426035503,-284.355421686747,94.51176470588236,0.0,37.529411764705884,-237.4673913043478,-261.0828729281768,83.34239130434783,0.0,11.25,-208.6290322580645,-237.54594594594596,70.62032085561498,0.0,29.67914438502674,-84.36571428571429,-102.13609467455622,63.03954802259887,0.0,36.836158192090394,11.793103448275861,-7.6395348837209305,66.92045454545455,0.0,14.829545454545455,75.26993865030674,46.32692307692308,58.13253012048193,0.0,0.0,81.8855421686747,54.089171974522294,56.7906976744186,0.0,2.0930232558139537,16.45977011494253,-3.8411764705882354,70.91573033707866,0.0,3.3146067415730336,-70.69587628865979,-90.36315789473684,78.71212121212122,0.0,1.9191919191919191,-180.83333333333334,-203.3179723502304,72.29464285714286,0.0,5.714285714285714,-268.1626016260163,-288.9581589958159,71.8156862745098,0.0,5.8431372549019605
195,209780-99999	-266.8552188552189,-297.0378006872852,68.11935483870968,0.0,7.516129032258065,-270.3471074380165,-299.3305084745763,64.49425287356321,0.0,0.0,-253.0662251655629,-283.4634146341463,69.61180124223603,0.0,0.0,-177.81311475409836,-204.88013698630138,63.637770897832816,0.0,0.0,-73.37457044673539,-98.39928057553956,72.60983606557377,0.0,0.0,48.253787878787875,9.8582995951417,68.50533807829181,0.0,0.0,142.52547770700636,70.6026936026936,62.82404692082111,0.0,0.11730205278592376,93.64634146341463,38.673202614379086,67.26086956521739,0.0,0.0,23.554945054945055,-4.902578796561604,66.53785900783289,0.0,6.866840731070496,-100.52759381898454,-125.85034013605443,69.77118644067797,0.0,8.008474576271187,-205.97967479674796,-230.36666666666667,61.95247524752475,0.0,13.821782178217822,-280.61895161290323,-308.3833333333333,61.41304347826087,0.0,13.873517786561266
195,217150-99999	-349.1757322175732,-376.4564755838641,61.53703703703704,0.0,14.300411522633745,-326.98024691358023,-352.1057934508816,55.39667458432304,0.0,12.684085510688837,-283.2628205128205,-312.3326086956522,50.13223140495868,0.0,1.5702479338842976,-209.33405172413794,-241.25877192982455,50.815677966101696,0.0,4.766949152542373,-78.70105263157895,-105.25601750547045,49.170731707317074,0.0,0.0,45.59340659340659,11.403153153153154,56.95974576271186,0.0,0.0423728813559322,89.02552204176334,42.9136690647482,59.262443438914026,0.0,0.0,66.10897435897436,36.469933184855236,52.450819672131146,0.0,0.0,-1.2826086956521738,-22.17269076305221,58.80879541108987,0.0,10.325047801147228,-144.6223662884927,-169.0556464811784,57.25079872204473,0.0,12.348242811501597,-262.28175895765474,-287.57471264367814,45.62903225806452,0.0,26.35483870967742,-331.0689655172414,-357.83194675540767,54.766881028938904,0.0,13.954983922829582
195,217480-99999	None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.4,-3.9857142857142858,47.84285714285714,0.0,36.0,-44.7027027027027,-57.21621621621622,49.5945945945946,0.0,122.70270270270271,None,None,None,None,None,None,None,None,None,None
195,218250-99999	-310.2376811594203,-331.12865497076024,55.250696378830085,0.0,0.0,-288.05555555555554,-306.7033333333333,58.62820512820513,0.0,0.0,-285.0517711171662,-307.55307262569835,36.41160949868074,0.0,0.0,-216.32978723404256,-237.81842818428186,43.87212276214834,0.0,0.0,-85.84916201117318,-106.12753623188406,40.22727272727273,0.0,0.0,12.940625,-1.0686274509803921,43.854166666666664,0.0,0.0,48.014367816091955,30.305637982195847,48.50276243093923,0.0,0.0,68.41432225063939,44.36436170212766,59.77078085642317,0.0,0.0,18.773242630385486,-9.0,68.59020044543429,0.0,0.0,-110.85457809694793,-135.81204379562044,72.91021126760563,0.0,0.0,-223.90630975143404,-246.2923076923077,41.10299625468165,0.0,0.0,-290.6019230769231,-314.99805447470817,53.66477272727273,0.0,0.0
195,219460-99999	-327.820987654321,-340.9874213836478,50.949186991869915,0.0,0.0,-344.0141509433962,-357.7354368932039,42.26340326340326,0.0,0.0,-285.68595041322317,-303.4728033472803,40.44646464646465,0.0,0.0,-201.4375,-223.45887445887445,49.03680981595092,0.0,0.0,-54.992172211350294,-80.56112224448898,50.70566037735849,0.0,0.0,60.22431865828092,19.247826086956522,55.17943548387097,0.0,0.0,90.7889344262295,47.188436830835116,57.36619718309859,0.0,0.0,70.63438735177866,37.67213114754098,51.60114503816794,0.0,0.0,6.29009009009009,-16.843173431734318,49.466431095406364,0.0,0.0,-133.2578125,-151.6339144215531,52.20245398773006,0.0,0.0,-265.67915309446255,-281.9818780889621,35.53462157809984,0.0,0.0,-339.534375,-359.44620253164555,40.59969088098918,0.0,0.0
195,219790-99999	-207.51832460732984,-228.8235294117647,68.7258883248731,0.0,0.0,-253.97883597883597,-285.7567567567568,61.902061855670105,0.0,0.0,-250.21226415094338,-277.87254901960785,50.5,0.0,0.0,-146.13793103448276,-169.62608695652173,53.90794979079498,0.0,0.0,-63.06666666666667,-83.50581395348837,49.924731182795696,0.0,0.0,-2.4803149606299213,-18.025,45.21052631578947,0.0,0.0,33.770992366412216,15.096774193548388,54.73571428571429,0.0,0.0,15.967948717948717,-6.238095238095238,47.00632911392405,0.0,0.0,-18.674418604651162,-38.75151515151515,48.89010989010989,0.0,0.0,-97.78010471204189,-128.7826086956522,72.27272727272727,0.0,0.0,-205.13089005235602,-224.0,57.78172588832487,0.0,0.0,-202.510101010101,-225.93684210526317,80.7128712871287,0.0,0.0
